start;end;label;label_code;distribution_PLN_kWh
00:00;00:15;normal;b;0,110
00:15;00:30;normal;b;0,110
00:30;00:45;normal;b;0,110
00:45;01:00;normal;b;0,110
01:00;01:15;normal;b;0,110
01:15;01:30;normal;b;0,110
01:30;01:45;normal;b;0,110
01:45;02:00;normal;b;0,110
02:00;02:15;normal;b;0,110
02:15;02:30;normal;b;0,110
02:30;02:45;normal;b;0,110
02:45;03:00;normal;b;0,110
03:00;03:15;normal;b;0,110
03:15;03:30;normal;b;0,110
03:30;03:45;normal;b;0,110
03:45;04:00;normal;b;0,110
04:00;04:15;normal;b;0,110
04:15;04:30;normal;b;0,110
04:30;04:45;normal;b;0,110
04:45;05:00;normal;b;0,110
05:00;05:15;normal;b;0,110
05:15;05:30;normal;b;0,110
05:30;05:45;normal;b;0,110
05:45;06:00;normal;b;0,110
06:00;06:15;normal;b;0,110
06:15;06:30;normal;b;0,110
06:30;06:45;normal;b;0,110
06:45;07:00;normal;b;0,110
07:00;07:15;normal;b;0,110
07:15;07:30;normal;b;0,110
07:30;07:45;normal;b;0,110
07:45;08:00;normal;b;0,110
08:00;08:15;normal;b;0,110
08:15;08:30;normal;b;0,110
08:30;08:45;normal;b;0,110
08:45;09:00;normal;b;0,110
09:00;09:15;normal;b;0,110
09:15;09:30;normal;b;0,110
09:30;09:45;normal;b;0,110
09:45;10:00;normal;b;0,110
10:00;10:15;normal;b;0,110
10:15;10:30;normal;b;0,110
10:30;10:45;normal;b;0,110
10:45;11:00;normal;b;0,110
11:00;11:15;normal;b;0,110
11:15;11:30;normal;b;0,110
11:30;11:45;normal;b;0,110
11:45;12:00;normal;b;0,110
12:00;12:15;normal;b;0,110
12:15;12:30;normal;b;0,110
12:30;12:45;normal;b;0,110
12:45;13:00;normal;b;0,110
13:00;13:15;normal;b;0,110
13:15;13:30;normal;b;0,110
13:30;13:45;normal;b;0,110
13:45;14:00;normal;b;0,110
14:00;14:15;normal;b;0,110
14:15;14:30;normal;b;0,110
14:30;14:45;normal;b;0,110
14:45;15:00;normal;b;0,110
15:00;15:15;normal;b;0,110
15:15;15:30;normal;b;0,110
15:30;15:45;normal;b;0,110
15:45;16:00;normal;b;0,110
16:00;16:15;normal;b;0,110
16:15;16:30;normal;b;0,110
16:30;16:45;normal;b;0,110
16:45;17:00;normal;b;0,110
17:00;17:15;normal;b;0,110
17:15;17:30;normal;b;0,110
17:30;17:45;normal;b;0,110
17:45;18:00;normal;b;0,110
18:00;18:15;normal;b;0,110
18:15;18:30;normal;b;0,110
18:30;18:45;normal;b;0,110
18:45;19:00;normal;b;0,110
19:00;19:15;normal;b;0,110
19:15;19:30;normal;b;0,110
19:30;19:45;normal;b;0,110
19:45;20:00;normal;b;0,110
20:00;20:15;normal;b;0,110
20:15;20:30;normal;b;0,110
20:30;20:45;normal;b;0,110
20:45;21:00;normal;b;0,110
21:00;21:15;normal;b;0,110
21:15;21:30;normal;b;0,110
21:30;21:45;normal;b;0,110
21:45;22:00;normal;b;0,110
22:00;22:15;normal;b;0,110
22:15;22:30;normal;b;0,110
22:30;22:45;normal;b;0,110
22:45;23:00;normal;b;0,110
23:00;23:15;normal;b;0,110
23:15;23:30;normal;b;0,110
23:30;23:45;normal;b;0,110
23:45;00:00;normal;b;0,110
